symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,0.00051000,0.832,0.06152768,0.06131000,0.06182000,0.12940000,0.06181000,50.98950000,0.06182000,27.31000000,0.06131000,0.06182000,0.06117000,11417.95720000,702.52037099,1694760196248,1694846596248,423034082,423057424,23343
LTCBTC,0.00011000,4.632,0.00245016,0.00237400,0.00248500,5.60700000,0.00248500,18.47600000,0.00248600,97.22700000,0.00237500,0.00250800,0.00236700,82912.63300000,203.14883790,1694760195930,1694846595930,93478608,93495529,16922
BNBBTC,0.00011500,1.438,0.00804563,0.00799800,0.00811200,42.58100000,0.00811200,50.30900000,0.00811300,0.80800000,0.00799700,0.00811500,0.00797500,25694.40600000,206.72780693,1694760200000,1694846600000,227077151,227104980,27830
NEOBTC,0.00000380,1.385,0.00027678,0.00027420,0.00027820,4.47000000,0.00027800,0.36000000,0.00027810,4.53000000,0.00027440,0.00027980,0.00027370,6251.04000000,1.73014790,1694760090485,1694846490485,45508842,45509959,1118
QTUMETH,0.00002400,1.815,0.00135113,0.00131600,0.00134600,4.90000000,0.00134900,169.20000000,0.00135400,200.00000000,0.00132200,0.00137100,0.00132200,869.50000000,1.17480740,1694760128580,1694846528580,5401877,5401936,60
EOSETH,0.00000360,1.034,0.00034977,0.00034910,0.00035180,173.60000000,0.00035140,696.40000000,0.00035310,2540.10000000,0.00034820,0.00035360,0.00034670,8375.40000000,2.92945694,1694760199381,1694846599381,23497551,23497631,81
SNTETH,0.00000031,2.313,0.00001367,0.00001341,0.00001371,127.00000000,0.00001373,4449.00000000,0.00001382,13591.00000000,0.00001340,0.00001379,0.00001340,145336.00000000,1.98631228,1694760186621,1694846586621,3906786,3906839,54
BNTETH,0.00002110,8.655,0.00026323,0.00024410,0.00026490,29.00000000,0.00026430,336.50000000,0.00026530,454.90000000,0.00024380,0.00027980,0.00024220,135174.30000000,35.58196667,1694760201558,1694846601558,2233437,2234725,1289
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
GASBTC,0.00000240,2.733,0.00008807,0.00008780,0.00009020,108.90000000,0.00009010,259.80000000,0.00009020,2.20000000,0.00008780,0.00009020,0.00008610,47166.90000000,4.15381656,1694760171103,1694846571103,20793765,20796921,3157
BNBETH,0.00080000,0.613,0.13069534,0.13040000,0.13120000,0.24100000,0.13120000,118.72500000,0.13130000,3.61500000,0.13040000,0.13150000,0.13000000,4888.68400000,638.92822970,1694760201101,1694846601101,56279735,56284383,4649
BTCUSDT,-92.46000000,-0.348,26519.54601984,26568.74000000,26476.28000000,0.01114000,26476.28000000,5.18688000,26476.29000000,3.73808000,26568.74000000,26888.00000000,26224.00000000,27250.97355000,722683447.14462780,1694760201381,1694846601381,3212694744,3213390162,695419
ETHUSDT,7.74000000,0.475,1632.94639621,1629.22000000,1636.95000000,1.61620000,1636.95000000,12.96040000,1636.96000000,41.81720000,1629.21000000,1654.08000000,1611.42000000,184682.39710000,301576454.78708300,1694760200715,1694846600715,1196932922,1197262599,329678
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
